ano,tipo_despesa,esfera_governo,valor_despesa
2014,Serviços públicos gerais,Governo Central,0.11455098551056851
2014,Serviços públicos gerais,Governos Estaduais,0.03813812944756485
2014,Serviços públicos gerais,Governos Municipais,0.013555776405665564
2014,Serviços públicos gerais,Coluna de Consolidação,-0.06347213314326432
2014,Serviços públicos gerais,Governo Geral,0.10277275822053461
2015,Serviços públicos gerais,Governo Central,0.15805128241800595
2015,Serviços públicos gerais,Governos Estaduais,0.04356835409572863
2015,Serviços públicos gerais,Governos Municipais,0.01476622393687796
2015,Serviços públicos gerais,Coluna de Consolidação,-0.06874037875877884
2015,Serviços públicos gerais,Governo Geral,0.14764548169183372
2016,Serviços públicos gerais,Governo Central,0.14077817876773088
2016,Serviços públicos gerais,Governos Estaduais,0.03924252485523227
2016,Serviços públicos gerais,Governos Municipais,0.013664845893628532
2016,Serviços públicos gerais,Coluna de Consolidação,-0.06648747727765479
2016,Serviços públicos gerais,Governo Geral,0.12719807223893687
2017,Serviços públicos gerais,Governo Central,0.13007393530480388
2017,Serviços públicos gerais,Governos Estaduais,0.034332028481367266
2017,Serviços públicos gerais,Governos Municipais,0.012241013869312652
2017,Serviços públicos gerais,Coluna de Consolidação,-0.060464037429106304
2017,Serviços públicos gerais,Governo Geral,0.1161829402263775
2018,Serviços públicos gerais,Governo Central,0.13137424164506079
2018,Serviços públicos gerais,Governos Estaduais,0.03440704843266988
2018,Serviços públicos gerais,Governos Municipais,0.012638098137804438
2018,Serviços públicos gerais,Coluna de Consolidação,-0.06331256937153239
2018,Serviços públicos gerais,Governo Geral,0.11510681884400273
2019,Serviços públicos gerais,Governo Central,0.11675582910052817
2019,Serviços públicos gerais,Governos Estaduais,0.032756734919061614
2019,Serviços públicos gerais,Governos Municipais,0.013729299252223505
2019,Serviços públicos gerais,Coluna de Consolidação,-0.06358766974645015
2019,Serviços públicos gerais,Governo Geral,0.09965419352536314
2020,Serviços públicos gerais,Governo Central,0.11156568687587341
2020,Serviços públicos gerais,Governos Estaduais,0.02951703341671727
2020,Serviços públicos gerais,Governos Municipais,0.014194143575144926
2020,Serviços públicos gerais,Coluna de Consolidação,-0.06906326231411994
2020,Serviços públicos gerais,Governo Geral,0.08621360155361568
2021,Serviços públicos gerais,Governo Central,0.11378386760034545
2021,Serviços públicos gerais,Governos Estaduais,0.03629736900868646
2021,Serviços públicos gerais,Governos Municipais,0.013033952618054076
2021,Serviços públicos gerais,Coluna de Consolidação,-0.0641918281507149
2021,Serviços públicos gerais,Governo Geral,0.0989233610763711
2022,Serviços públicos gerais,Governo Central,0.13564193303750158
2022,Serviços públicos gerais,Governos Estaduais,0.03937601600902369
2022,Serviços públicos gerais,Governos Municipais,0.01417586428997718
2022,Serviços públicos gerais,Coluna de Consolidação,-0.07867015593566265
2022,Serviços públicos gerais,Governo Geral,0.11052365740083979
2023,Serviços públicos gerais,Governo Central,0.1328113531511399
2023,Serviços públicos gerais,Governos Estaduais,0.03736319400722911
2023,Serviços públicos gerais,Governos Municipais,0.014178326536829284
2023,Serviços públicos gerais,Coluna de Consolidação,-0.07085760576739907
2023,Serviços públicos gerais,Governo Geral,0.11349526792779925
2024,Serviços públicos gerais,Governo Central,0.1323486145268771
2024,Serviços públicos gerais,Governos Estaduais,0.03407571022741335
2024,Serviços públicos gerais,Governos Municipais,0.015020915657197726
2024,Serviços públicos gerais,Coluna de Consolidação,-0.0706226127425144
2024,Serviços públicos gerais,Governo Geral,0.11082262766897381
2010,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Central,0.006895566984245141
2010,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Estaduais,0.009359971479064448
2010,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Municipais,0.00439859374783526
2010,"Poder execut., leg., assuntos fiscais, financeiros e externos",Coluna de Consolidação,-0.0004470675224444867
